code,company,name,variant
BRBLU,BR,Blue
BRBLG,BR,Blue & Grey
PROVI,BR,Provincial
REGIR,BR,Regional Railways
INMAI,BR,Intercity Mainline
ICEXE,BR,Intercity Executive
ICSWA,BR,Intercity Swallow
COLAS,Colas Rail
FLRAG,Freightliner,Racing Green
FLHHL,Freightliner,Heavy Haul
FLGWO,Freightliner,Genesee & Wyoming,Orange
FLGHG,Freightliner,Genesee & Wyoming,Heritage Green
FLGHO,Freightliner,Genesee & Wyoming,Heritage Orange
FLGHW,Freightliner,Genesee & Wyoming,Heritage White
LUMO_,Lumo
CAPPH,Cappagh
LORAM,Loram Rail Operations
AVWCY,Avanti West Coast
AVWCG,Avanti West Coast,Pride
AVWCP,Avanti West Coast,Plain White
SCSAL,Scotrail,Saltire
SCSEV,Scotrail,Seven Cities
HITCH,Hitachi Rail
SCSLE,Caledonian Sleeper
FSCCN,First,Capital Connect
FSGWF,First,Great Western,Fag packet
FSGWP,First,Great Western,Plain Blue
FSGWB,First,Great Western,Barbie
FSGWW,First,Great Western,Link
FSGWL,First,Great Western,Local Lines
FSGWD,First,Great Western,Dynamic Lines
FSTPE,First,TransPennine Express
FSSCB,First,ScotRail,Barbie
FSHUL,First,Hull Trains
FS,First,
NXSCR,National Express,Scotrail
NXESC,National Express,East Coast
STGRN,Govia,Southern
WESXT,Wessex Trains
HNRCA,Harry Needle Railroad Company,Orange,Early
HNRCA,Harry Needle Railroad Company,Orange,Late
VTXCT,Virgin Trains
VTWCA,Virgin Trains,West Coast,Early
VTWCL,Virgin Trains,West Coast,Late
VTESC,Virgin Trains,East Coast
SVLNK,SilverLink
NTSPR,Northern Spirit
HULLT,Hull Trains
NTWKR,Network Rail
ARTWL,Arriva,Trains Wales,A
ARTWL,Arriva,Trains Wales,B
ARTWE,Arriva,Trains Wales,Executive
ARRNT,Arriva,Rail Northern
ARTMS,Arriva,Trains Merseyside
ARXCT,Arriva,CrossCountry
ARXCT,Arriva,CrossCountry,New
GCBLA,Grand Central,Black
GCBGS,Grand Central,Gold Stripe
SCANT,Serco-Abellio,Northern Rail
GBRFO,GBRf,Original
GBRFF,First,GBRf
GBRFE,GBRf,Europorte
GBRFL,GBRf,Late
